day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-11-17,-1.549675333866539,1.0,0.8858484414996355,1.0,1.0
2025-11-18,-0.9500354743676631,1.0,0.6163434550424031,1.0,1.0
2025-11-19,-0.9724161420090746,1.0,0.636121090385244,1.0,1.0
2025-11-21,0.6525460748578259,1.0,0.25920044830592137,1.0,1.0
2025-11-22,1.279224260272568,1.0,1.2016955494562171,1.0,1.0
2025-11-23,-0.37472489091745764,0.7736854718916971,0.028890658219844267,0.22298667544252093,3.0
2025-11-24,-0.6608376054900722,0.5299193945631785,0.022209336378732125,0.9266816227722454,3.0
2025-11-25,0.645371137292263,0.7508108471152583,-0.31480915666665377,0.22656774649378528,2.0
2025-11-26,-0.691583876742629,0.4322198305127826,0.8847335989185982,0.5416849859760352,4.0
2025-11-27,-0.17633946096991662,1.7346572237770166,1.3191508815113762,0.8805880443505708,3.0
2025-11-28,3.0111115985866244,1.0,0.9214333893417338,1.0,1.0
2025-11-29,-0.33631438893141613,1.0,-0.027821009250028526,1.0,1.0
2025-11-30,-0.9500354743676634,1.0,0.0773334821279379,1.0,1.0
2025-12-01,-0.35120296997293154,1.0,-0.36657897534197204,1.0,1.0
2025-12-02,-0.6594434035977856,0.41095924760084296,-0.5287333353907552,0.6674425148607465,2.0
2025-12-03,0.24924424463008824,1.0,-1.5396964366154569,1.0,1.0
2025-12-04,-0.5502755680350793,1.0,1.1553534279568678,1.0,1.0
2025-12-05,1.4016054407701806,1.0,0.8942607894411159,1.0,1.0
2025-12-06,-0.7551847136154658,0.7595024337860508,-0.3621340090431415,1.0448519320794398,3.0
2025-12-07,0.0016986914126973008,0.25577860591256857,-1.14658545342929,0.4289862867861895,5.0
2025-12-08,0.322916501060759,0.9794782825637959,-0.5998005054352967,0.3851763292678052,3.0
2025-12-09,0.6745055217863225,0.9540991640135583,0.7485423477751537,0.4146492660020085,3.0
2025-12-10,2.6478036826255913,1.0,0.8858484414996355,1.0,1.0
2025-12-12,0.2617506166147532,0.5920672493712402,-0.08488847250070515,1.1352390848367417,7.0
2025-12-15,-0.042106511839009396,0.31056414888184924,-0.38805001752178914,1.0268999323072017,3.0
2025-12-17,0.24736578210572943,1.3097649175067216,0.6121570755314921,0.6192345433632531,4.0
2025-12-18,0.4891001884296385,1.0,0.40073946587661685,1.0,1.0
2025-12-19,-0.41402980500099545,0.6960725709367588,0.055225284627498705,0.04553997361269379,2.0
2025-12-20,2.758940805304586,1.0,0.5173251786652534,1.0,1.0
2025-12-21,0.6998911586629761,1.0,0.3789363485174514,1.0,1.0
2025-12-22,0.9688120760287391,1.0,0.5354919591052333,1.0,1.0
2025-12-24,0.24924424463008824,1.0,-1.5396964366154569,1.0,1.0
2025-12-26,0.606323120571631,0.48994135296442165,0.15637714279963638,1.2807711009044422,2.0
2025-12-27,0.024131184487370283,1.3776797009644723,-0.5370633347829603,0.4877507041792561,2.0
2025-12-28,0.2010974800785791,0.6240819380075052,0.24570925005851976,0.9090683948581415,6.0
2025-12-29,-0.3695910728114007,1.0,-0.8570450252239272,1.0,1.0
2025-12-30,0.6998911586629761,1.0,0.3789363485174514,1.0,1.0
2025-12-31,0.16564358170421234,0.5559631947933272,0.5090241490838279,0.2597284891903862,5.0
2026-01-01,0.3864532710379772,0.4359814516476899,0.22569136573908322,2.084245954788461,2.0
2026-01-02,-1.7437309129509249,1.687800734866649,-0.2978316972247129,1.0786839891237716,2.0
2026-01-05,-0.15106447283335284,0.5550661315372047,-1.036961653444681,0.2766568414623695,2.0
2026-01-07,-1.8534555490688869,1.0,1.489244216544352,1.0,1.0
2026-01-08,-0.7071067811865476,1.0,-0.7071067811865474,1.0,1.0
2026-01-09,-0.43596742618065454,1.6165510468575726,1.2318386764059306,0.7420829628289894,2.0
2026-01-10,0.03775401091859233,1.0,-1.1074067298108918,1.0,1.0
2026-01-11,0.09505647542815109,0.4928023558229468,-1.0510330774710364,1.0482784600215571,3.0
2026-01-12,0.11632058528109734,1.0,0.22781890061658844,1.0,1.0
2026-01-13,-0.6802611419837485,1.0,0.7864316854792976,1.0,1.0
2026-01-14,-0.0864947145813485,0.3132343377011097,-0.25907052648671236,0.5431027642534803,4.0
2026-01-15,0.4822702603072075,1.1870119891990825,0.5577751242068901,0.7537568788539721,2.0
2026-01-17,-2.934380658875616,1.0,1.728421703827061,1.0,1.0
2026-01-18,1.6591242008559608,1.0,1.583435586687091,1.0,1.0
2026-01-19,-0.4284071900633477,0.3941407415942655,0.6604670262673445,0.06595857395249403,2.0
2026-01-20,-0.7071067811865476,1.0,-0.7071067811865477,1.0,1.0
2026-01-21,-0.07726300203281798,1.0,0.27724700907558136,1.0,1.0
2026-01-22,0.8449562738310264,1.0,1.8490798198509737,1.0,1.0
2026-01-23,0.2296840620336831,0.5901462639196049,-0.4593483770750274,0.619917643135092,4.0
2026-01-24,0.21412674546813149,0.6592567760975389,-0.13720681206689042,0.9656153981368863,3.0
2026-01-26,0.09583804968172516,0.9870694074852684,0.17340255441833616,0.5036407065585564,5.0
2026-01-27,1.1809772636023719,1.0,0.8786867776689595,1.0,1.0
2026-01-28,0.31355748393808536,0.777449454492276,0.00760624138662136,0.8738160779315063,4.0
2026-01-30,-1.0141473259905207,1.7524189541941493,0.5136235045377907,0.33428684570887873,2.0
2026-02-02,-0.7940334309276773,1.0,-1.012764249760992,1.0,1.0
2026-02-03,-0.9187632935564799,1.2087015091389623,-0.07059268113548889,1.3777602597642802,2.0
